iter	RMSE
0	38.63548541
1	38.41336465
2	38.19031532
3	37.98837259
4	37.77449048
5	37.56592356
6	37.35903854
7	37.15746983
8	36.96094842
9	36.76008348
10	36.56316468
11	36.36218736
12	36.17722535
13	35.98997661
14	35.80670621
15	35.62441301
16	35.45890963
17	35.28108013
18	35.10581655
19	34.93368979
20	34.75640563
21	34.5813882
22	34.41032559
23	34.24227632
24	34.0745073
25	33.91175737
26	33.7451061
27	33.58491328
28	33.42306021
29	33.25992921
30	33.09926411
31	32.94388306
32	32.79222034
33	32.65198059
34	32.50346071
35	32.36086432
36	32.21986181
37	32.07587711
38	31.94310642
39	31.81703252
40	31.68387146
41	31.54809743
42	31.41511485
43	31.29213784
44	31.15849776
45	31.04167683
46	30.9076407
47	30.7844277
48	30.66167628
49	30.53383608
50	30.41416167
51	30.28877315
52	30.1686892
53	30.06374856
54	29.94413495
55	29.82481811
56	29.72019901
57	29.60516524
58	29.49644996
59	29.39301001
60	29.2844458
61	29.17287487
62	29.07353319
63	28.9665099
64	28.86290713
65	28.75853484
66	28.66375615
67	28.56435869
68	28.46985223
69	28.37243668
70	28.27267853
71	28.18576928
72	28.09277135
73	28.00361527
74	27.91332409
75	27.82225583
76	27.74134439
77	27.65443458
78	27.56767574
79	27.4848927
80	27.40559573
81	27.32800311
82	27.24696513
83	27.168799
84	27.09058342
85	27.01553883
86	26.93846186
87	26.86984195
88	26.80308423
89	26.72513838
90	26.65277874
91	26.58268352
92	26.51015345
93	26.44193232
94	26.37819989
95	26.30791989
96	26.23777258
97	26.1689744
98	26.10270887
99	26.04299128
100	25.97733759
101	25.91408655
102	25.84849555
103	25.78814537
104	25.73328741
105	25.67144021
106	25.61789265
107	25.55847511
108	25.50000157
109	25.44294034
110	25.39199574
111	25.3381325
112	25.28188258
113	25.23045807
114	25.17529131
115	25.11712698
116	25.06754363
117	25.01845074
118	24.96651489
119	24.91767936
120	24.86451553
121	24.81419496
122	24.76581019
123	24.71990262
124	24.67356866
125	24.62561931
126	24.57942875
127	24.53648402
128	24.49261033
129	24.44542641
130	24.40555722
131	24.36418876
132	24.31628434
133	24.27606897
134	24.23551673
135	24.19569036
136	24.15545752
137	24.10804528
138	24.0687761
139	24.03331872
140	23.99370599
141	23.95722266
142	23.92209357
143	23.88205482
144	23.84447352
145	23.80595202
146	23.77117074
147	23.73584494
148	23.70068318
149	23.66394751
150	23.63175633
151	23.59690631
152	23.56559021
153	23.53371279
154	23.49950702
155	23.47085943
156	23.44251737
