iter	Logloss
0	0.6054393121
1	0.5482347198
2	0.4970956226
3	0.4541611356
4	0.4238610667
5	0.3986868137
6	0.381722812
7	0.3643694728
8	0.3513860076
9	0.3414319058
10	0.3315035691
11	0.3251746224
12	0.3177161523
13	0.31139541
14	0.3067063901
15	0.3028882369
16	0.2987275527
17	0.2954568737
18	0.2920469756
19	0.289108333
20	0.2865728113
21	0.283993961
22	0.2817857452
23	0.2802192946
24	0.2782346477
25	0.2765263606
26	0.2751168438
27	0.273439996
28	0.271828035
29	0.2708662689
30	0.269332099
31	0.2683928524
32	0.267098824
33	0.2662812885
34	0.2652803275
35	0.2638998932
36	0.2628356164
37	0.2620182951
38	0.2609484788
39	0.2602998673
40	0.2596404363
41	0.2589620281
42	0.2579980492
43	0.2573291264
44	0.2562036244
45	0.2556598091
46	0.254967401
47	0.2544630692
48	0.2540708373
49	0.2535867122
50	0.2528146186
51	0.2519506739
52	0.2513647535
53	0.2502701692
54	0.2495035766
55	0.2490821541
56	0.248616987
57	0.2479912169
58	0.2477171798
59	0.2473172417
60	0.246733602
61	0.2461765444
62	0.2458337599
63	0.2450948519
64	0.2448060281
65	0.2445470439
66	0.2442773361
67	0.2438523587
68	0.2433361134
69	0.2426261612
70	0.2421690397
71	0.2419117256
72	0.2416950611
73	0.2412256559
74	0.2409232072
75	0.2405641921
76	0.2401767159
77	0.2398459746
78	0.2393114389
79	0.2387492744
80	0.2384646226
81	0.2380975769
82	0.237906357
83	0.2375278754
84	0.2370372973
85	0.2366341007
86	0.2364373728
87	0.2362021935
88	0.2357521773
89	0.2355412651
90	0.2349382179
91	0.234701596
92	0.2344252803
93	0.2338823514
94	0.2333470056
95	0.2331542709
96	0.2328652025
97	0.2323636111
98	0.2319458337
99	0.2316444393
100	0.231364727
101	0.2308678453
102	0.2306633094
103	0.2302184807
104	0.2300077799
105	0.2297001073
106	0.2294529425
107	0.2292683603
108	0.2289455533
109	0.2287267084
110	0.2283427961
111	0.2280270471
112	0.2278420233
113	0.2274490242
114	0.2272490149
115	0.226965548
116	0.2266608319
117	0.2264574862
118	0.2261971233
119	0.2259688118
120	0.2257450562
121	0.2255335426
122	0.2251286299
123	0.2249117431
124	0.2247188302
125	0.2244881565
126	0.2242478278
127	0.2238197173
128	0.2235537004
129	0.2233500606
130	0.2228099493
131	0.2222559228
132	0.2218787902
133	0.2216338266
134	0.221402281
135	0.2209840167
136	0.2206415518
137	0.2204607414
138	0.2201022061
139	0.2196951963
140	0.2194542633
141	0.2190261913
142	0.2186483614
143	0.2181969689
144	0.2179312192
145	0.2174615744
146	0.2170133249
147	0.216832845
148	0.2165506186
149	0.2163486106
150	0.2159879847
151	0.2156782804
152	0.215436763
153	0.2151771469
154	0.2148480014
155	0.2146409441
156	0.2143485939
157	0.2140663162
158	0.2137258042
159	0.2135128233
160	0.2132817827
161	0.2129858516
162	0.2127568076
163	0.2125411672
164	0.2121322435
165	0.2118239337
166	0.2116028466
167	0.2114339328
168	0.2110853027
169	0.2108223122
170	0.2105007753
171	0.2102515469
172	0.2099779258
173	0.2097131433
174	0.2095131899
175	0.2093167102
176	0.2091283684
177	0.208902683
178	0.2086713194
179	0.2084343792
180	0.2082215809
181	0.2080790207
182	0.2078629334
183	0.2076450132
184	0.20740251
185	0.2071459175
186	0.2066905683
187	0.2063944654
188	0.2061756289
189	0.2060060918
190	0.2057855403
191	0.2055421679
192	0.2053615143
193	0.2051761071
194	0.2048750767
195	0.2046708986
196	0.2043637147
197	0.2041853769
198	0.2040093358
199	0.2038421802
200	0.2035731482
201	0.2033400286
202	0.2031344244
203	0.2029762575
204	0.2027854262
205	0.2025514378
206	0.2023845643
207	0.202187383
208	0.201957262
209	0.2017950801
210	0.2016658064
211	0.2014997547
212	0.2013464797
213	0.2011431567
214	0.2009634334
215	0.2008304575
216	0.2006762008
217	0.200492847
218	0.2003047256
219	0.2001107478
220	0.1999160145
221	0.1996227325
222	0.1994315415
223	0.1992693193
224	0.1991266942
225	0.1989704059
226	0.1987552744
227	0.1985737416
228	0.1984416339
229	0.1982594767
230	0.1981063249
231	0.1979329187
232	0.1977871275
233	0.1976117317
234	0.1974570061
235	0.1972833578
236	0.197107277
237	0.1969804159
238	0.1968077162
239	0.196529294
240	0.1963896911
241	0.1962465559
242	0.1961103315
243	0.1959234907
244	0.1957098426
245	0.1955477845
246	0.1953776618
247	0.1951995183
248	0.1950163773
249	0.1948262318
250	0.194651263
251	0.1945236405
252	0.1943770289
253	0.1942355112
254	0.1940832079
255	0.1939410369
256	0.1936562191
257	0.1934544114
258	0.1932919934
259	0.1931472197
260	0.1930561564
261	0.1928858608
262	0.1927218708
263	0.1925672851
264	0.192354733
265	0.1922054951
266	0.1920660048
267	0.1918846526
268	0.1917347084
269	0.1915815003
270	0.191466185
271	0.1913288245
272	0.1911758415
273	0.1909243154
274	0.1907866961
275	0.1905351274
276	0.1903768637
277	0.1902403665
278	0.1901211509
279	0.1900110717
280	0.1898603039
281	0.189734289
282	0.189478391
283	0.189341501
284	0.1891685508
285	0.1890447904
286	0.1889343066
287	0.1887852842
288	0.1886215866
289	0.1884759585
290	0.1883479442
291	0.18813322
292	0.1879134807
293	0.1877749411
294	0.1875640508
295	0.1874100214
296	0.1872313186
297	0.1871054923
298	0.1869767252
299	0.1868172123
300	0.1866649917
301	0.1865226611
302	0.186387641
303	0.1862668153
304	0.186142186
305	0.1860174935
306	0.1859118949
307	0.1857229052
308	0.1856016106
309	0.1854669273
310	0.1852998039
311	0.1851993093
312	0.1850327602
313	0.1849267148
314	0.1848266604
315	0.1847168816
316	0.1846253889
317	0.1844772211
318	0.1843365711
319	0.1841872695
320	0.184042847
321	0.1839388046
322	0.1838069929
323	0.183702925
324	0.1835747938
325	0.1834555248
326	0.1833149624
327	0.1831885511
328	0.1830782213
329	0.1829096287
330	0.1827853559
331	0.1826030087
332	0.1824546509
333	0.1823358291
334	0.1821228527
335	0.1820128063
336	0.181922609
337	0.1817597276
338	0.1815978463
339	0.1814931318
340	0.1813814644
341	0.1812675485
342	0.1811263561
343	0.1809953698
344	0.1808580635
345	0.1807249553
346	0.1806168985
347	0.1805442588
348	0.1804596572
349	0.1803013162
350	0.1801768209
351	0.179949003
352	0.1797967671
353	0.1796841423
354	0.1795669673
355	0.1794371853
356	0.1793454969
357	0.1792336085
358	0.1791110902
359	0.1790005337
360	0.1788948456
361	0.1787893286
362	0.1786442087
363	0.178444353
364	0.1782849365
365	0.1781704765
366	0.1780300485
367	0.1779049823
368	0.1777934175
369	0.1776350942
370	0.1775054923
371	0.1774032922
372	0.1772798379
373	0.1771665052
374	0.1770798769
375	0.1769625464
376	0.1768073998
377	0.1766802319
378	0.1765001505
379	0.1763566857
380	0.1762180017
381	0.1761348933
382	0.1760565171
383	0.1759153146
384	0.1757928158
385	0.1756839185
386	0.17557502
