iter	Passed	Remaining
419	2449	3382
420	2453	3374
421	2457	3366
422	2463	3360
423	2468	3352
424	2472	3344
425	2476	3336
426	2482	3330
427	2486	3322
428	2490	3314
429	2496	3309
430	2500	3301
431	2504	3293
432	2510	3287
433	2514	3279
434	2518	3271
435	2522	3263
436	2527	3256
437	2531	3247
438	2535	3239
439	2539	3231
440	2544	3225
441	2548	3217
442	2552	3209
443	2559	3204
444	2564	3198
445	2570	3192
446	2574	3184
447	2579	3178
448	2583	3170
449	2587	3162
450	2593	3156
451	2597	3149
452	2602	3142
453	2610	3139
454	2617	3134
455	2621	3127
456	2627	3122
457	2635	3118
458	2639	3110
459	2646	3107
460	2651	3099
461	2655	3092
462	2661	3086
463	2665	3079
464	2669	3071
465	2676	3067
466	2680	3059
467	2684	3051
468	2689	3045
469	2694	3038
470	2698	3030
471	2702	3023
472	2708	3017
473	2714	3012
474	2718	3004
475	2724	2999
476	2731	2994
477	2735	2987
478	2744	2985
479	2749	2978
480	2753	2971
481	2763	2969
482	2767	2962
483	2777	2961
484	2783	2955
485	2793	2954
486	2799	2949
487	2811	2950
488	2816	2943
489	2828	2943
490	2832	2936
491	2841	2933
492	2847	2927
493	2853	2922
494	2862	2919
495	2866	2912
496	2876	2911
497	2880	2903
498	2886	2897
499	2892	2892
500	2896	2885
501	2903	2880
502	2908	2873
503	2912	2866
504	2916	2858
505	2922	2852
506	2926	2845
507	2930	2838
508	2935	2831
509	2939	2824
510	2944	2817
511	2947	2809
512	2953	2803
513	2957	2796
514	2961	2789
515	2966	2782
516	2971	2776
517	2976	2769
518	2981	2762
519	2986	2756
520	2991	2749
521	2995	2742
522	3000	2736
523	3004	2729
524	3008	2722
525	3012	2715
526	3018	2709
527	3022	2702
528	3027	2695
529	3031	2688
530	3036	2681
531	3040	2674
532	3044	2667
533	3050	2662
534	3054	2655
535	3059	2648
536	3063	2641
537	3068	2635
538	3072	2627
539	3076	2620
540	3080	2613
541	3086	2608
542	3092	2603
543	3103	2601
544	3108	2595
545	3114	2590
546	3122	2586
547	3137	2587
548	3144	2583
549	3156	2582
550	3170	2583
551	3175	2577
552	3188	2577
553	3202	2577
554	3207	2571
555	3220	2571
556	3224	2564
557	3234	2562
558	3239	2555
559	3247	2551
560	3252	2545
561	3256	2537
562	3263	2533
563	3267	2526
564	3271	2518
565	3276	2512
566	3281	2505
567	3285	2498
568	3289	2491
569	3296	2487
570	3300	2480
571	3305	2472
572	3310	2466
573	3315	2460
574	3321	2455
575	3329	2451
576	3333	2444
577	3338	2437
578	3345	2432
579	3349	2425
580	3352	2418
581	3357	2411
582	3361	2404
583	3365	2397
584	3369	2390
585	3374	2383
586	3379	2377
587	3382	2370
588	3386	2363
589	3392	2357
590	3396	2350
591	3400	2343
592	3404	2336
593	3410	2331
594	3415	2324
595	3419	2317
596	3426	2313
597	3430	2306
598	3435	2299
599	3439	2292
600	3444	2286
601	3448	2280
602	3452	2273
603	3458	2267
604	3464	2262
605	3472	2257
606	3477	2251
607	3482	2245
608	3489	2240
609	3497	2236
610	3510	2235
611	3522	2233
612	3534	2231
613	3544	2228
614	3560	2229
615	3566	2223
616	3577	2220
617	3583	2214
618	3593	2211
619	3603	2208
620	3613	2205
621	3629	2205
622	3640	2203
623	3646	2197
624	3653	2192
625	3658	2185
626	3664	2180
627	3672	2175
628	3679	2170
629	3687	2165
630	3693	2159
631	3697	2152
632	3704	2147
633	3708	2140
634	3713	2134
635	3720	2129
636	3724	2122
637	3728	2115
638	3735	2110
639	3739	2103
640	3743	2096
641	3747	2089
642	3753	2083
643	3757	2076
644	3761	2070
645	3767	2064
646	3772	2058
647	3777	2051
648	3784	2047
649	3788	2040
650	3792	2033
651	3797	2026
652	3802	2020
653	3806	2013
654	3811	2007
655	3818	2002
656	3824	1996
657	3836	1994
658	3842	1988
659	3852	1984
660	3858	1979
661	3871	1976
662	3877	1970
663	3897	1972
664	3905	1967
665	3912	1961
666	3917	1955
667	3931	1953
668	3938	1948
669	3951	1946
670	3958	1941
671	3971	1938
672	3980	1933
673	3988	1929
674	3999	1925
675	4005	1919
676	4014	1915
677	4020	1909
678	4029	1904
679	4033	1898
680	4037	1891
681	4044	1885
682	4048	1878
683	4052	1872
684	4055	1865
685	4061	1858
686	4065	1852
687	4069	1845
688	4076	1840
689	4082	1833
690	4086	1827
691	4091	1821
692	4097	1815
693	4104	1809
694	4115	1805
695	4120	1799
696	4130	1795
697	4136	1789
698	4151	1787
699	4162	1784
700	4168	1777
701	4184	1776
702	4189	1770
703	4195	1764
704	4199	1757
705	4203	1750
706	4208	1743
707	4212	1737
708	4216	1730
709	4220	1724
710	4225	1717
711	4228	1710
712	4231	1703
713	4236	1697
714	4240	1690
715	4244	1683
716	4248	1676
717	4252	1670
718	4261	1665
719	4267	1659
720	4280	1656
721	4285	1650
722	4295	1645
723	4299	1639
724	4310	1635
725	4314	1628
726	4318	1621
727	4327	1616
728	4331	1610
729	4336	1604
730	4343	1598
731	4347	1591
732	4351	1585
733	4359	1579
734	4363	1573
735	4367	1566
736	4374	1561
737	4378	1554
738	4383	1548
739	4391	1542
740	4395	1536
741	4399	1529
742	4407	1524
743	4411	1518
744	4416	1511
745	4425	1506
746	4429	1500
747	4438	1495
748	4442	1488
749	4447	1482
750	4456	1477
751	4464	1472
752	4475	1468
753	4481	1461
754	4493	1458
755	4507	1454
756	4513	1448
757	4527	1445
758	4534	1439
759	4541	1434
760	4544	1427
761	4556	1423
762	4563	1417
763	4576	1413
764	4580	1407
765	4589	1402
766	4593	1395
767	4602	1390
768	4606	1383
769	4610	1377
770	4618	1371
771	4622	1365
772	4626	1358
773	4633	1353
774	4638	1346
775	4642	1340
776	4649	1334
777	4653	1327
778	4658	1321
779	4665	1315
780	4669	1309
781	4674	1302
782	4678	1296
783	4688	1291
784	4692	1285
785	4699	1279
786	4703	1273
787	4708	1266
788	4715	1260
789	4719	1254
790	4723	1248
791	4730	1242
792	4734	1235
793	4739	1229
794	4743	1223
795	4748	1217
796	4752	1210
797	4757	1204
798	4763	1198
799	4767	1191
800	4771	1185
801	4775	1179
802	4781	1172
803	4784	1166
804	4789	1160
805	4794	1154
806	4798	1147
807	4802	1141
808	4806	1134
809	4811	1128
810	4815	1122
811	4819	1115
812	4824	1109
813	4832	1104
814	4839	1098
815	4849	1093
816	4855	1087
817	4866	1082
818	4870	1076
819	4876	1070
820	4885	1065
821	4909	1063
822	4917	1057
823	4921	1051
824	4930	1045
825	4935	1039
826	4938	1033
827	4947	1027
828	4952	1021
829	4960	1016
830	4967	1010
831	4971	1003
832	4977	997
833	4981	991
834	4985	985
835	4991	979
836	4995	972
837	4999	966
838	5003	960
839	5008	953
840	5012	947
841	5017	941
842	5021	935
843	5026	929
844	5030	922
845	5034	916
846	5039	910
847	5044	904
848	5048	897
849	5052	891
850	5058	885
851	5062	879
852	5066	873
853	5071	867
854	5077	861
855	5081	854
856	5085	848
857	5091	842
858	5094	836
859	5098	830
860	5105	824
861	5109	817
862	5113	811
863	5117	805
864	5122	799
865	5126	793
866	5130	787
867	5134	780
868	5140	774
