iter	Logloss
0	0.6900139747
1	0.6869102956
2	0.6838965908
3	0.6808820058
4	0.6778365825
5	0.6748322139
6	0.6718380757
7	0.6688851234
8	0.6659188783
9	0.6630353235
10	0.6601344658
11	0.6572686957
12	0.6544470623
13	0.6515981646
14	0.6488232944
15	0.646031538
16	0.6432319837
17	0.6404578257
18	0.6377514025
19	0.6350269115
20	0.6323362384
21	0.6296887872
22	0.6270306833
23	0.6244446024
24	0.6218230088
25	0.6192208317
26	0.6166694891
27	0.6141084654
28	0.6116438993
29	0.609159102
30	0.6066752282
31	0.6041964596
32	0.6017669867
33	0.5993359401
34	0.596969435
35	0.594544712
36	0.5921892756
37	0.5898078689
38	0.5874566412
39	0.5851666556
40	0.582892753
41	0.5805880487
42	0.5783284934
43	0.5760981658
44	0.5738883548
45	0.571663614
46	0.5695071455
47	0.5673742122
48	0.56522615
49	0.5631261783
50	0.5609943163
51	0.558883413
52	0.5567937387
53	0.5547309145
54	0.5526877037
55	0.5506215719
56	0.5486090023
57	0.5465692642
58	0.5445386111
59	0.5425446556
60	0.5405769068
61	0.5385971288
62	0.536653131
63	0.5347033449
64	0.5327816631
65	0.5309180675
66	0.5290306891
67	0.5271366455
68	0.5252779828
69	0.5234330688
70	0.5215937936
71	0.5197882177
72	0.5180273372
73	0.516243307
74	0.5144635254
75	0.512685539
76	0.5109493849
77	0.5091964623
78	0.5075119747
79	0.5057941068
80	0.5041089241
81	0.5024222775
82	0.5007720588
83	0.4991136285
84	0.4974908378
85	0.4958763575
86	0.4942578047
87	0.492641631
88	0.4910901339
89	0.4895039364
90	0.4879289628
91	0.4863591612
92	0.4848090381
93	0.483255213
94	0.4817331272
95	0.4802277388
96	0.4787466211
97	0.4772507862
98	0.475765181
99	0.4743148451
100	0.4728561814
101	0.4714175983
102	0.4699847224
103	0.4685442584
104	0.4671323056
105	0.4657194961
106	0.4643300408
107	0.4629488383
108	0.461584471
109	0.4602250236
110	0.4588752924
111	0.4575398583
112	0.4562079477
113	0.4548764824
114	0.4536004474
115	0.4523418777
116	0.4510352916
117	0.4497726111
118	0.4485207183
119	0.4472973844
120	0.4460384193
121	0.4447780082
122	0.4435597863
123	0.4423635428
124	0.4411614255
125	0.439976645
126	0.4387794066
127	0.4375824611
128	0.4364110415
129	0.4352331359
130	0.4340920887
131	0.432948316
132	0.4317951349
133	0.4306487836
134	0.4295225835
135	0.4284113496
136	0.427309875
137	0.4262043132
138	0.4251018903
139	0.4240171047
140	0.4229357805
141	0.4218684065
142	0.4208022923
143	0.419737968
144	0.4186977322
145	0.417692317
146	0.4166736465
147	0.4156855947
148	0.4146761093
149	0.4137006699
150	0.4127046265
151	0.4117066304
152	0.4107228899
153	0.4097444779
154	0.4087740967
155	0.4078273865
156	0.4068789553
157	0.4059435722
158	0.4049912549
159	0.4040542348
160	0.403132084
161	0.4022268209
162	0.4013293027
163	0.4004544425
164	0.3995423797
165	0.3986409605
166	0.3977581125
167	0.396871321
168	0.3960035402
169	0.3951457232
170	0.3942938384
171	0.3934519395
172	0.392584372
173	0.3917539361
174	0.3909345805
175	0.3901084141
176	0.389304444
177	0.3884923988
178	0.3876984707
179	0.3869017486
180	0.3861123464
181	0.3853174864
182	0.3845254704
183	0.3837581243
184	0.3829838022
185	0.382215802
186	0.3814537045
187	0.3806950201
188	0.3799697137
189	0.3792216969
190	0.378493971
191	0.3777678008
192	0.3770643349
193	0.3763352735
194	0.3756379035
195	0.3749370007
196	0.3742440679
197	0.3735505488
198	0.3728625275
199	0.3721997109
200	0.3715145119
201	0.370841238
202	0.3701759842
203	0.3695019048
204	0.3688306932
205	0.3681501497
206	0.367511277
207	0.3668590157
208	0.3662243045
209	0.3655749586
210	0.3649535808
211	0.3643204534
212	0.3636934656
213	0.3630935904
214	0.3624767728
215	0.361862296
216	0.3612635653
217	0.3606570306
218	0.3600754152
219	0.3594671738
220	0.3588847891
221	0.358317888
222	0.3577423091
223	0.3571630985
224	0.3565941551
225	0.3560317787
226	0.355461713
227	0.3548980102
228	0.3543319894
229	0.3537746984
230	0.3532315775
231	0.3526764581
232	0.3521377502
233	0.3516220571
234	0.3510993093
235	0.3505730078
236	0.3500629333
237	0.3495500086
238	0.3490440019
239	0.3485229767
240	0.3480038282
241	0.3474999775
242	0.3469889422
243	0.3464967911
244	0.3459996873
245	0.3455127142
246	0.3450185517
247	0.3445427955
248	0.3440758564
249	0.3436019483
250	0.3431203061
251	0.3426497502
252	0.3421947531
253	0.3417455069
254	0.3412777924
255	0.3408210387
256	0.3403638201
257	0.3399166141
258	0.3394864614
259	0.3390572383
260	0.3386354596
261	0.3381862486
262	0.3377572107
263	0.3373236798
264	0.33689438
265	0.3364681257
266	0.3360546693
267	0.33564641
268	0.3352239248
269	0.334808083
270	0.3344010335
271	0.333993854
272	0.3335871755
273	0.3331830099
274	0.3327824686
275	0.3323969161
276	0.3320025217
277	0.3316174429
278	0.3312268568
279	0.3308460775
280	0.3304635246
281	0.3300974026
282	0.3297385931
283	0.3293652273
284	0.328997424
285	0.3286271732
286	0.3282666231
287	0.327892428
288	0.3275315137
289	0.3271860507
290	0.3268368505
291	0.3264889306
292	0.326153057
293	0.3257976534
294	0.3254601001
295	0.325122018
296	0.3247851955
297	0.3244610306
298	0.3241198069
299	0.323791287
300	0.3234697754
301	0.3231265523
302	0.3228054189
303	0.3224812941
304	0.3221504188
305	0.3218413053
306	0.3215280244
307	0.3212082706
308	0.3208990514
309	0.3205786996
310	0.3202657917
311	0.3199673878
312	0.319666369
313	0.3193656374
314	0.3190542427
315	0.3187509212
316	0.3184614968
317	0.3181754134
318	0.3179007071
319	0.3176093483
320	0.3173271299
321	0.3170509076
322	0.3167631826
323	0.3164847129
324	0.3162032264
325	0.3159219406
326	0.315654846
327	0.3153780406
328	0.3151092406
329	0.3148316464
330	0.3145684041
331	0.3143090602
332	0.3140408152
333	0.3137746487
334	0.3135155917
335	0.3132557172
336	0.3129918403
337	0.3127296116
338	0.3124709315
339	0.3122269721
340	0.3119749591
341	0.311720935
342	0.3114708285
343	0.3112216533
344	0.310963975
345	0.3107145757
346	0.310477835
347	0.3102348776
348	0.309993834
349	0.3097504383
350	0.3095232914
351	0.3092930174
352	0.3090605681
